MSFT,INTC,GIS,AMD,NVDA,JNJ,AMZN,PFE,MCD,FDX,Date
240.740005,26.969999,78.480003,66.110001,125.120003,163.199997,115.879997,44.139999,235.339996,151.460007,10/3/2022
248.880005,27.700001,78.5,67.900002,131.669998,165.619995,121.089996,44.459999,238.5,159.119995,10/4/2022
249.199997,27.639999,77.690002,67.940002,132.089996,165.110001,120.949997,44.119999,239.089996,156.869995,10/5/2022
246.789993,27.18,74.970001,67.849998,131.300003,161.910004,120.300003,43.09,234.75,155.190002,10/6/2022
234.240005,25.719999,75.349998,58.439999,120.760002,160.199997,114.559998,42.32,233.190002,154.410004,10/7/2022
229.25,25.200001,76.410004,57.810001,116.699997,160.410004,113.669998,41.75,234.949997,153.210007,10/10/2022
225.410004,25.040001,77.389999,57.630001,115.860001,162.729996,112.209999,41.919998,237.050003,152.080002,10/11/2022
225.75,25.33,77.360001,57.849998,115,162.690002,112.900002,42.029999,237.059998,152.889999,10/12/2022
234.240005,26.42,78.82,58.939999,119.599998,165.149994,112.529999,42.98,246.75,156.25,10/13/2022
228.559998,25.91,77.709999,55.939999,112.269997,164.460007,106.900002,42.860001,243.160004,156.960007,10/14/2022
237.529999,26.42,77.410004,57.959999,118.879997,166.589996,113.790001,43.650002,246.479996,156.979996,10/17/2022
238.5,25.870001,78.269997,57.919998,119.669998,166.009995,116.360001,44.09,249.190002,156.300003,10/18/2022
236.479996,26,78.129997,57.23,120.510002,164.690002,115.07,43.110001,250.75,152.960007,10/19/2022
236.149994,26.08,76.669998,57.77,121.940002,165.110001,115.25,42.91,249.770004,150.139999,10/20/2022
242.119995,26.969999,77.040001,58.82,124.660004,168.710007,119.32,44.950001,254.550003,153.229996,10/21/2022
247.25,27.18,77.620003,58.700001,125.989998,170.979996,119.82,45.540001,255.320007,154.759995,10/24/2022
250.660004,27.41,78.300003,61.470001,132.610001,170.710007,120.599998,45.59,255.729996,155.800003,10/25/2022
231.320007,27.209999,78.360001,59.73,128.960007,172.210007,115.660004,46.060001,256.609985,157.960007,10/26/2022
226.75,26.27,79.870003,58.599998,131.759995,172.309998,110.959999,45.740002,265.109985,156.910004,10/27/2022
235.869995,29.07,81.57,62.009998,138.339996,174.869995,103.410004,47.43,274.519989,160.369995,10/28/2022
232.130005,28.43,81.580002,60.060001,134.970001,173.970001,102.440002,46.549999,272.660004,160.279999,10/31/2022
228.169998,28.299999,80.290001,59.66,135.429993,173.089996,96.790001,48.009998,272.950012,158.190002,11/1/2022
220.100006,27.42,79.809998,58.630001,132.190002,170.429993,92.120003,47.07,270.369995,154.559998,11/2/2022
214.25,27.389999,78.910004,60.110001,134.210007,170.720001,89.300003,46.57,272.950012,154.919998,11/3/2022
221.389999,28.200001,79.059998,62.189999,141.559998,171.479996,90.980003,47.220001,274.619995,156.660004,11/4/2022
227.869995,28.41,79.190002,63.080002,143.009995,172.979996,90.529999,47.09,276.410004,159.240005,11/7/2022
228.869995,28.48,79.559998,63.849998,146.020004,173.839996,89.980003,47.349998,278.399994,159.539993,11/8/2022
224.509995,27.52,80.339996,59.919998,137.759995,172.449997,86.139999,46.720001,277.790009,158.039993,11/9/2022
242.979996,29.76,79.580002,68.470001,157.5,174.470001,96.629997,47.380001,275.880005,166,11/10/2022
247.110001,30.43,77.25,72.370003,163.270004,169.25,100.790001,47.599998,271.390015,175.610001,11/11/2022
241.550003,30.35,76.970001,73.529999,162.949997,171.910004,98.489998,49.240002,272.269989,174.759995,11/14/2022
241.970001,30.709999,77.440002,76.370003,166.660004,172.389999,98.940002,48.57,267.839996,176.259995,11/15/2022
241.729996,29.530001,79.059998,72.699997,159.100006,173.460007,97.120003,48.049999,272.51001,170.770004,11/16/2022
241.679993,29.889999,79.769997,73.900002,156.770004,174.860001,94.849998,48.330002,273.359985,171.539993,11/17/2022
241.220001,29.870001,81.029999,73.57,154.089996,176.199997,94.139999,48.23,273.369995,174.720001,11/18/2022
242.050003,28.940001,81.980003,72.459999,153.169998,175.970001,92.459999,48.18,274.519989,173.639999,11/21/2022
245.029999,29.82,82.169998,75.25,160.380005,176.820007,93.199997,49.080002,274.76001,175.669998,11/22/2022
247.580002,29.67,82.779999,76.400002,165.190002,177.009995,94.129997,48.849998,273.269989,176.360001,11/23/2022
247.490005,29.34,82.970001,75.139999,162.699997,177.240005,93.410004,49.209999,275,176.699997,11/25/2022
241.759995,28.73,82.93,73.190002,158.270004,177.330002,93.949997,49.57,272.880005,173.210007,11/28/2022
240.330002,28.9,82.839996,73.389999,156.389999,176.089996,92.419998,49.490002,271.410004,177.820007,11/29/2022
255.139999,30.07,85.300003,77.629997,169.229996,178,96.540001,50.130001,272.790009,182.220001,11/30/2022
254.690002,29.83,85.419998,77.480003,171.350006,178.740005,95.5,51.080002,273.399994,180.449997,12/1/2022
255.020004,29.41,86.519997,74.980003,168.759995,178.880005,94.129997,50.91,273.399994,181.410004,12/2/2022
250.199997,29.17,86.300003,73.620003,166.100006,178.779999,91.010002,50.73,271.589996,176.600006,12/5/2022
245.119995,28.6,85.379997,70.269997,159.869995,176.100006,88.25,49.709999,271.769989,173.050003,12/6/2022
244.369995,28.33,87.220001,70.139999,161.199997,177.169998,88.459999,50.240002,270.339996,172.279999,12/7/2022
247.399994,28.440001,87.550003,70.470001,171.690002,177.199997,90.349998,51.779999,273.390015,171.910004,12/8/2022
245.419998,28.24,85.839996,68.589996,170.009995,175.740005,89.089996,51.720001,272.040009,172.330002,12/9/2022
252.509995,28.690001,86.839996,70.669998,175.350006,177.839996,90.550003,52.16,276.619995,177.369995,12/12/2022
256.920013,28.73,86.970001,71.650002,180.720001,179.210007,92.489998,53.07,274.279999,176.880005,12/13/2022
257.220001,28.26,87.330002,68.93,176.740005,179.759995,91.580002,54.48,274.529999,178.070007,12/14/2022
249.009995,27.15,86.949997,66.529999,169.520004,177.490005,88.449997,53.610001,271.730011,173.169998,12/15/2022
244.690002,26.92,86.93,65.410004,165.710007,175.669998,87.860001,51.400002,266.119995,171.720001,12/16/2022
240.449997,26.790001,87.120003,64.589996,162.539993,175.479996,84.919998,51.360001,265.829987,168.779999,12/19/2022
241.800003,26.440001,83.129997,65.050003,160.850006,175.669998,85.190002,51.32,267.25,164.350006,12/20/2022
244.429993,26.83,85.360001,67.68,165.009995,177.679993,86.769997,51.66,268.160004,169.990005,12/21/2022
238.190002,25.969999,85.169998,63.860001,153.389999,177.029999,83.790001,51.639999,265.769989,175.690002,12/22/2022
238.729996,26.09,85.410004,64.519997,152.059998,177.479996,85.25,51.830002,267.570007,175.929993,12/23/2022
236.960007,25.940001,85.940002,63.27,141.210007,177.429993,83.040001,51.130001,266.839996,177.050003,12/27/2022
234.529999,25.540001,84.760002,62.57,140.360001,176.660004,81.82,50.799999,265.109985,173.050003,12/28/2022
241.009995,26.209999,84.379997,64.82,146.029999,177.559998,84.18,51.330002,265.929993,175.550003,12/29/2022
239.820007,26.43,83.849998,64.769997,146.139999,176.649994,84,51.240002,263.529999,173.199997,12/30/2022
239.580002,26.73,83.220001,64.019997,143.149994,178.190002,85.82,51.259998,264.329987,177.270004,1/3/2023
229.100006,27.68,83.889999,64.660004,147.490005,180.130005,85.139999,50.130001,264.390015,181.449997,1/4/2023
